Individual,Animal Set,Strain Rate (1/s),Tube Foot Disc Tenacity (MPa)
Spurp2024-204,WA2,0.7860793706013006,0.24826189757468511
Spurp2024-207,WA2,2.842913609678237,0.2282317673149096
Spurp2024-207,WA2,0.3082677408084835,0.13704621062208577
Spurp2024-207,WA2,1.609842646444303,0.24164153190037532
Spurp2024-212,WA2,3.5029374029306504,0.19674126487498328
Spurp2024-212,WA2,0.37983658585995006,0.21017266746891297
Spurp2024-212,WA2,1.9835910594908504,0.2933073525872443
Spurp2024-218,WA2,2.7830402199607693,0.2921483876724655
Spurp2024-218,WA2,0.30177544553791474,0.1564663525794841
Spurp2024-218,WA2,1.5759384378091104,0.23853793656268743
Spurp2024-223,WA2,3.217977249288555,0.2358531850533808
Spurp2024-223,WA2,0.3489372920915301,0.15934527785381877
Spurp2024-223,WA2,1.8222280809224352,0.2158943211059403
Spurp2024-224,WA2,3.72983417966117,0.347494442394613
Spurp2024-224,WA2,0.4044398508066328,0.1325612000737939
Spurp2024-224,WA2,2.112074776434638,0.34213992067152477
Spurp2024-225,WA2,4.328733402175841,0.20994915520181923
Spurp2024-225,WA2,0.4693807303564165,0.1451675758953951
Spurp2024-225,WA2,2.451210480750175,0.23358657873791927
Spurp2024-226,WA2,3.668021919745448,0.37261338011831574
Spurp2024-226,WA2,0.397737316598904,0.17070291149518618
Spurp2024-226,WA2,2.0770726533498323,0.22793373042570467
Spurp2024-227,WA2,2.950691457214974,0.554868889384976
Spurp2024-227,WA2,0.3199544953606598,0.334590265654649
Spurp2024-227,WA2,1.6708734757723345,0.33308179595937043
Spurp2024-228,WA2,3.098356004837915,0.2656074571078431
Spurp2024-228,WA2,0.3359663137776052,0.15962323284313723
Spurp2024-228,WA2,1.754490749727494,0.2113315171568627
Spurp2024-229,WA2,3.781769138941286,0.1560955300374713
Spurp2024-229,WA2,0.4100713524153202,0.45975521576211775
Spurp2024-229,WA2,2.1414837292800057,0.23919982110479873
